slug,name,city,county,date,distances_km
malmo-marathon,Malmö Marathon,Malmö,Skåne,2026-10-03,21.098;42.195
broloppet-motala,Broloppet Motala,Motala,Östergötland,2026-10-03,10
forbifartspremiaren,Förbifartspremiären,Stockholm,Stockholm,2026-10-03,10
julita-loppet,Julita Loppet,Katrineholm,Södermanland,2026-10-03,10
tidaholm-marathon,Tidaholm Marathon,Tidaholm,Västra Götaland,2026-10-03,21.1;42.2
lerkilsloppet,Lerkilsloppet,Lerkil,Halland,2026-10-04,10
a-stadsloppet,Å-stadsloppet,Örebro,Örebro,2026-10-10,10;21.097
goteborg-marathon,Göteborg Marathon,Göteborg,Västra Götaland,2026-10-10,21.1;42.195
running-lights-alingsas,Running Lights - Alingsås,Alingsås,Västra Götaland,2026-10-10,10
hasselbyloppet,Hässelbyloppet,Stockholm,Stockholm,2026-10-11,10
fire-night-run-vasteras,Fire Night Run - Västerås,Västerås,Västmanland,2026-10-15,10
jonkoping-10k-5k,Jönköping 10K & 5K,Jönköping,Jönköping,2026-10-17,10
uppsala-marathon-half-marathon,Uppsala Marathon & Half Marathon,Uppsala,Uppsala,2026-10-17,21.098;42.195
varberg-halvmarathon,Varberg halvmarathon,Varberg,Halland,2026-10-17,21.1
hellasloppet,Hellasloppet,Nacka,Stockholm,2026-10-17,10
vaxjo-marathon,Växjö Marathon,Växjö,Kronoberg,2026-10-17,42.195
skovdeloppet,Skövdeloppet,Skövde,Västra Götaland,2026-10-18,10;21.097
taby-halvmarathon,Täby Halvmarathon,Täby,Stockholm,2026-10-18,21.1
hostrusket,Höstrusket,Stockholm,Stockholm,2026-11-07,10;21.098;42.195
jamjohalvan,Jämjöhalvan,Jämjö,Blekinge,2026-11-07,10.5;21.097
mustaschmilen-goteborg,Mustaschmilen - Göteborg,Göteborg,Västra Götaland,2026-11-07,10
mustaschmilen-malmo,Mustaschmilen - Malmö,Malmö,Skåne,2026-11-14,10
strangnas-halvmaraton,Strängnäs Halvmaraton,Strängnäs,Södermanland,2026-11-14,21.1
mustaschmilen-stockholm,Mustaschmilen - Stockholm,Stockholm,Stockholm,2026-11-21,10
gavle-adventslopp,Gävle Adventslopp,Gävle,Gävleborg,2026-11-29,10
personliga-rekordens-tavling-the-personal-records-race,Personliga Rekordens Tävling (The Personal Records Race),Växjö,Kronoberg,2026-12-04,100
lucialoppet,Lucialoppet,Visby,Gotland,2026-12-12,10.6
kalmar-sylvesterloppet,Sylvesterloppet Kalmar,Kalmar,Kalmar,2026-12-31,10
nyarsloppet-norrkoping,Nyårsloppet Norrköping,Norrköping,Östergötland,2026-12-31,10
nyarsloppet-stockholm,Nyårsloppet Stockholm,Stockholm,Stockholm,2026-12-31,10
sylvesterloppet-10km,Sylvesterloppet 10 Km,Nora,Örebro,2026-12-31,10
sylvesterloppet-anderstorp,Sylvesterloppet Anderstorp,Anderstorp,Jönköping,2026-12-31,10
sylvesterloppet-goteborg,Sylvesterloppet Göteborg,Göteborg,Västra Götaland,2026-12-31,10
sylvesterloppet-olofstrom,Sylvesterloppet Olofström,Olofström,Blekinge,2026-12-31,10.5
